family,method,seed,qbe_high_bands,qbe_total,spectral_jsd,hks_distance,final_loss,train_time_s,qbe_band_0,qbe_band_1,qbe_band_2,qbe_band_3,qbe_band_4,qbe_band_5,qbe_band_6,qbe_band_7
SBM(q=0.05),uniform,0,0.06599806695581004,0.28976392402477885,0.0,0.0,1.6540641945321113,66.77395176887512,0.2473951601805765,0.0,0.007622581233346665,0.008974526409316869,0.02005189796234566,0.06698868526880028,0.12068305119878758,0.05626863339330662
SBM(q=0.05),spectral,0,0.033708983699388226,0.16104338161240286,0.0,0.0,1.6411600532010198,79.31083655357361,0.1348641916703638,0.0,0.008444689071775209,0.0074000036981977865,0.000508214250383221,0.02955536594862157,0.07746751155267756,0.027304843045870553
SBM(q=0.05),uniform,1,0.11898033511432018,0.5532111942813618,0.0,0.0,9.885290666483343,65.0006628036499,0.48806058994802304,0.0,0.007604944933620027,0.004534304557122386,0.03005363925206364,0.1392129242985056,0.16847755823212424,0.13817721867458727
SBM(q=0.05),spectral,1,0.0925698416509454,0.45258570855291846,0.0,0.0,10.026056449394673,80.93569874763489,0.40453542399048137,0.0,0.02595446487974199,0.008301592506957917,0.03548862314930068,0.09565099761573925,0.1464017466893406,0.09273799914940106
SBM(q=0.05),uniform,2,0.03280904513754347,0.07931083621144185,0.0,0.0,20.16456213663332,65.09243321418762,0.034198633921939434,0.0,0.00940522586660918,0.011513277725954781,0.03437717724084424,0.013087570143600236,0.046230082255907023,0.037541350909822385
SBM(q=0.05),spectral,2,0.05160435968853715,0.1425876814492551,0.0,0.0,19.277597935171798,80.87624502182007,0.06224509979448689,0.0,0.05828593568257386,0.023751311241162202,0.031067546017962883,0.03402359398531893,0.0845566846709444,0.0567696140799224
SBM(q=0.05),uniform,3,0.025219231382164024,0.11213841812259433,0.0,0.0,1.9693892558570951,66.79773902893066,0.09253566247334286,0.0,0.006479186771250624,0.013547714799036707,0.000636367513763586,0.028490907536489085,0.05002601961304695,0.021723630865356475
SBM(q=0.05),spectral,3,0.0293178087443514,0.07916356879727782,0.0,0.0,1.9982125647366047,80.15242719650269,0.03978372246211194,0.0,0.005900571614974419,0.01680464222888623,0.027391149335716514,0.0060610553230968645,0.047701187224381214,0.03611784309421101
SBM(q=0.05),uniform,4,0.06874643878986966,0.25162610672035013,0.0,0.0,2.9368305325042456,66.17481541633606,0.19201097998099365,0.0,0.037527160771216,0.013872766571993645,0.01578742391763771,0.05864628386908416,0.12316213829501346,0.07738990907774329
SBM(q=0.05),spectral,4,0.11773307586652951,0.5485475843035833,0.0,0.0,3.031985415611416,80.39055132865906,0.4912654729617962,0.0,0.01181574967117521,0.00851741982450313,0.09621947984659136,0.13956171937280606,0.15609078423802095,0.07906032000869964
BA(m=5),uniform,0,0.08243659855934825,0.37896893916647884,0.0,0.0,1.4636840024031699,64.90534400939941,0.3385134596878621,0.0,0.01612564624255866,0.024892711693027814,0.06707599550572699,0.08651721950516976,0.1060629897694363,0.07009018945705997
