family,t_knee,seed,spectral_gap_ratio,qbe_total,qbe_high_bands,final_loss,train_time_s
SBM(q=0.01),0.05,0,0.06281307913616879,0.2011020014626997,0.04516825652740427,1.5647134187165648,77.76268315315247
SBM(q=0.01),0.05,1,0.06281307913616879,0.20214505118562398,0.06731135210192626,9.809351064963266,77.31327605247498
SBM(q=0.01),0.05,2,0.06281307913616879,0.3336768833480556,0.08479054692960526,20.007291451795027,78.39627003669739
SBM(q=0.01),0.05,3,0.06281307913616879,0.13423226127969942,0.032110706931455485,1.893650091253221,78.30363631248474
SBM(q=0.01),0.05,4,0.06281307913616879,0.19941361569333027,0.05378803243471795,2.791743755340576,78.20023775100708
SBM(q=0.01),0.1,0,0.06281307913616879,0.19976140295208678,0.04489021228643687,1.5649353752378374,76.9451196193695
SBM(q=0.01),0.1,1,0.06281307913616879,0.20192064174109844,0.06710957448609431,9.80925675923936,77.26284694671631
SBM(q=0.01),0.1,2,0.06281307913616879,0.32842729514831204,0.08434089572516372,20.0074477721937,77.76268768310547
SBM(q=0.01),0.1,3,0.06281307913616879,0.1341313169053774,0.03207675396691147,1.8934884355403483,78.3505346775055
SBM(q=0.01),0.1,4,0.06281307913616879,0.2022601906858937,0.05379250034006156,2.791740608867258,77.68665623664856
SBM(q=0.01),0.15,0,0.06281307913616879,0.20018288586252778,0.04498687727310011,1.564969250233844,77.0662112236023
SBM(q=0.01),0.15,1,0.06281307913616879,0.2021011041398558,0.06725886223940732,9.809429004788399,76.26541471481323
SBM(q=0.01),0.15,2,0.06281307913616879,0.32728073651129164,0.084444242178661,20.007201684173197,77.06420946121216
SBM(q=0.01),0.15,3,0.06281307913616879,0.1338204452928166,0.03198253771988128,1.8934474000707269,76.10436201095581
SBM(q=0.01),0.15,4,0.06281307913616879,0.20273447862378174,0.05370144514822629,2.7920084288343787,76.11762762069702
SBM(q=0.01),0.2,0,0.06281307913616879,0.19996174383622561,0.04496175314256767,1.5650433248374611,75.36653971672058
SBM(q=0.01),0.2,1,0.06281307913616879,0.20180533823785726,0.06726925056790707,9.809137925505638,77.05306696891785
SBM(q=0.01),0.2,2,0.06281307913616879,0.3285628117368976,0.08447404712855372,20.0069367561955,75.50226497650146
SBM(q=0.01),0.2,3,0.06281307913616879,0.1338001156702803,0.03200243457596058,1.8934348879847676,77.17722010612488
SBM(q=0.01),0.2,4,0.06281307913616879,0.20322726766950341,0.0537070964109519,2.7921518781222403,75.54911804199219
SBM(q=0.01),0.3,0,0.06281307913616879,0.1980441678797324,0.04461851539254512,1.565213446971029,75.68158388137817
SBM(q=0.01),0.3,1,0.06281307913616879,0.2025308580973392,0.06751852566118854,9.809635850368068,74.33673810958862
SBM(q=0.01),0.3,2,0.06281307913616879,0.3321087691770356,0.08443360893404137,20.00649099331349,75.63489723205566
SBM(q=0.01),0.3,3,0.06281307913616879,0.13376683590906688,0.0320280088618192,1.893445736495778,75.35298705101013
SBM(q=0.01),0.3,4,0.06281307913616879,0.20528206221859885,0.053654659144838024,2.7921656845137477,74.27024483680725
SBM(q=0.05),0.05,0,0.2910071257977564,1.032206707119337,0.21387887306481565,1.6468168126884848,79.80632376670837
SBM(q=0.05),0.05,1,0.2910071257977564,0.5040555337666147,0.1076705442443147,9.887732966803014,80.34970784187317
SBM(q=0.05),0.05,2,0.2910071257977564,0.07588403398423961,0.032182549414248196,20.166267469059676,79.7584331035614
SBM(q=0.05),0.05,3,0.2910071257977564,0.11137981647408843,0.025598895800784616,1.970515911700204,80.44010043144226
SBM(q=0.05),0.05,4,0.2910071257977564,0.2433609163067245,0.06785323456889186,2.9371338195633143,79.5087251663208
SBM(q=0.05),0.1,0,0.2910071257977564,1.0314339872457265,0.21371491975878681,1.6472664354369044,79.94056344032288
SBM(q=0.05),0.1,1,0.2910071257977564,0.4901205999437318,0.10435211112531888,9.88797604618594,79.99639081954956
SBM(q=0.05),0.1,2,0.2910071257977564,0.07648030087720983,0.03232786205695947,20.166081043658778,78.96594953536987
SBM(q=0.05),0.1,3,0.2910071257977564,0.10619067911492637,0.025114973348594624,1.9701021793298423,79.44448399543762
SBM(q=0.05),0.1,4,0.2910071257977564,0.24054288112386152,0.06744014243777219,2.937147760996595,78.90457582473755
