family,t_knee,seed,spectral_gap_ratio,qbe_total,qbe_high_bands,final_loss,train_time_s
SBM(q=0.01),0.05,0,0.06281307913616879,0.20561439763133996,0.04213660927102486,412.8211919844616,81.05454635620117
SBM(q=0.01),0.05,1,0.06281307913616879,0.2057299141575484,0.042234138830387916,137.452577566728,79.07657718658447
SBM(q=0.01),0.05,2,0.06281307913616879,0.20683925620722532,0.04251708242118203,55.482916763285175,80.63047099113464
SBM(q=0.01),0.1,0,0.06281307913616879,0.20561545989026617,0.04213681653207425,412.8208337635733,79.74325966835022
SBM(q=0.01),0.1,1,0.06281307913616879,0.20573119197288411,0.042234389177185035,137.4533951645717,79.31042647361755
SBM(q=0.01),0.1,2,0.06281307913616879,0.2068385791558736,0.04251695372006617,55.48243827512488,79.62864828109741
SBM(q=0.01),0.15,0,0.06281307913616879,0.2056151408766439,0.04213674360703011,412.82055864995345,78.70144248008728
SBM(q=0.01),0.15,1,0.06281307913616879,0.20573018563958156,0.04223418401860886,137.45371184311807,77.65982961654663
SBM(q=0.01),0.15,2,0.06281307913616879,0.206837722376295,0.04251678009736761,55.48227862501517,78.18106150627136
SBM(q=0.01),0.2,0,0.06281307913616879,0.20561576162894615,0.04213686143913163,412.82036748947576,78.5613739490509
SBM(q=0.01),0.2,1,0.06281307913616879,0.2057287478792369,0.042233880848348476,137.45358057506382,77.52903628349304
SBM(q=0.01),0.2,2,0.06281307913616879,0.20683716975154035,0.04251667759044444,55.4822562423069,77.46107864379883
SBM(q=0.01),0.3,0,0.06281307913616879,0.20561315667303,0.042136324909961075,412.8201857681852,77.1302375793457
SBM(q=0.01),0.3,1,0.06281307913616879,0.20572881252251934,0.04223390973392061,137.45337929669768,76.17008233070374
SBM(q=0.01),0.3,2,0.06281307913616879,0.20683622260997722,0.042516483136811264,55.482206841465086,76.00331997871399
SBM(q=0.05),0.05,0,0.2910071257977564,0.7134382135178744,0.05610786868203532,413.3147570624715,83.04498553276062
SBM(q=0.05),0.05,1,0.2910071257977564,0.718538285280633,0.05611440460467147,137.8323925603181,81.2527391910553
SBM(q=0.05),0.05,2,0.2910071257977564,0.7242160703667336,0.05640586434728586,55.73330348695163,80.88125348091125
SBM(q=0.05),0.1,0,0.2910071257977564,0.713452870864508,0.05610799276825138,413.31443643476814,80.89586734771729
SBM(q=0.05),0.1,1,0.2910071257977564,0.718539378761423,0.05611442469049977,137.83314197696745,80.3166151046753
SBM(q=0.05),0.1,2,0.2910071257977564,0.7242243047108032,0.056406060357781555,55.73282426339574,80.75302267074585
SBM(q=0.05),0.15,0,0.2910071257977564,0.713456006833764,0.05610795214028509,413.3141517598415,79.36682510375977
SBM(q=0.05),0.15,1,0.2910071257977564,0.7185385702265108,0.05611445757076651,137.83345545642078,80.03474020957947
SBM(q=0.05),0.15,2,0.2910071257977564,0.7242319166824654,0.0564061370292063,55.73273186199367,79.5734760761261
SBM(q=0.05),0.2,0,0.2910071257977564,0.7134602889074368,0.05610797589300929,413.31391626317054,80.2626428604126
