family,method,seed,qbe_high_bands,qbe_total,final_loss,train_time_s,qbe_band_0,qbe_band_1,qbe_band_2,qbe_band_3,qbe_band_4,qbe_band_5,qbe_band_6,qbe_band_7
SBM(q=0.05),uniform,0,0.05614084777949128,0.7127030622556416,413.32994617521763,68.46179914474487,0.600618552740816,0.0,0.3662840893201145,0.009771072302736302,0.057672839333577766,0.06258713548857414,0.06356647617303465,0.040736940122778544
SBM(q=0.05),spectral,0,0.0561134955968438,0.7154145471931583,401.53238454065286,81.56397366523743,0.6025803301711904,0.0,0.36835972878619894,0.009766618997615663,0.057656277530115374,0.06255474703725766,0.06352331089499005,0.04071964692501212
SBM(q=0.05),uniform,1,0.05611408557184171,0.7185121825226096,137.833089357242,68.95708465576172,0.60497323045795,0.0,0.37042397512051933,0.010092913050063821,0.05790114666865299,0.06218398302113428,0.06412907910385343,0.04024213349372612
SBM(q=0.05),spectral,1,0.05608343227552614,0.7171782938364294,143.06378175877035,82.23995614051819,0.6039457640462629,0.0,0.3695340212249887,0.010078013719169604,0.0578631051559861,0.06215241474340924,0.0640975729937803,0.04022063620892894
SBM(q=0.05),uniform,2,0.05640755814080228,0.7242660039903868,55.73240078194067,69.40845465660095,0.6095751987307887,0.0,0.3738553298913751,0.010089636276204567,0.05757773951650571,0.0626749150087126,0.06522184819046507,0.04015572984752574
SBM(q=0.05),spectral,2,0.05644558491563624,0.725755615763452,56.34555631992407,82.62964582443237,0.6107270041494757,0.0,0.37483930309216057,0.010105361394770529,0.057631231803699424,0.06271073186987604,0.06525588757694521,0.04018448841202428
BA(m=5),uniform,0,0.002359256806772245,0.2962218383891816,413.1662018741481,69.39717721939087,0.21519197170264026,0.0,0.2023547209910383,0.02115052656605293,0.0062289164244382494,0.002418240327369245,0.00022799478896236638,0.0005618756863191195
BA(m=5),spectral,0,0.01220640327206346,0.20363116036013038,401.5916010730434,81.78280973434448,0.1049171346772867,0.0,0.1707924588931916,0.017049711127650996,0.027527944020207806,0.014183236106541132,0.006109488976673461,0.0010049439848314433
BA(m=5),uniform,1,0.006091278392675117,0.26295600754656384,137.66552130691707,68.5010039806366,0.1798796641806446,0.0,0.19081335034978916,0.010082906253620239,0.015353329389050041,0.006150812439055145,0.0011867111686274141,0.0016742605739678666
BA(m=5),spectral,1,0.023176983387097966,0.15575346329627243,142.90341595746577,81.86804437637329,0.02661548963984467,0.0,0.12765781365707396,0.06156536974852658,0.05129001847017392,0.026036151623126585,0.01199775939763266,0.0033840040574587005
BA(m=5),uniform,2,0.017573561584435418,0.16660534193804596,55.761602447833866,66.49765801429749,0.03399676132606694,0.0,0.1498686938512171,0.045577686187408734,0.040080082936181274,0.01965078176215635,0.008043078052506671,0.002520303586897383
BA(m=5),spectral,2,0.0013186416281817737,0.3322000191983375,56.471212189178914,82.279376745224,0.2506974513896853,0.0,0.21567244773399247,0.031380371158285264,0.0008149670076597476,0.0010527495095360995,0.0023085903839678984,0.0010982596115633493
