family,method,seed,qbe_high_bands,qbe_total,spectral_jsd,hks_distance,final_loss,train_time_s,qbe_band_0,qbe_band_1,qbe_band_2,qbe_band_3,qbe_band_4,qbe_band_5,qbe_band_6,qbe_band_7
SBM(q=0.05),uniform,0,0.06632056578781068,0.32211929932154226,0.0,0.0,0.6271567330695689,32.08067011833191,0.28677680204275297,0.0,0.02533596360405725,0.0038414247125468995,0.021309810362425075,0.07923559088568038,0.09912757016622781,0.06560929173690941
SBM(q=0.05),spectral,0,0.1378510386931826,0.6477350113344995,0.0,0.0,0.634672240819782,39.483604431152344,0.5825386269279538,0.0,0.02220785457377512,0.008926617581448321,0.10325663941194449,0.15767871789784393,0.1762662124783588,0.11420258498458316
SBM(q=0.05),uniform,1,0.030640849218767488,0.09800755501522478,0.0,0.0,0.6970092058181763,31.611681938171387,0.06540502618777029,0.0,0.0037794100531534716,0.007407622335182176,0.02676507920263549,0.0007112876138293811,0.05077303070141623,0.044313999357188855
SBM(q=0.05),spectral,1,0.03179115686784163,0.0961131327070823,0.0,0.0,0.7010314869694412,38.12825059890747,0.06135101959241032,0.0,1.6037589475881298e-07,0.0022682344072667004,0.027589913661265314,0.004182853262526709,0.05606667276693006,0.03932518778064445
SBM(q=0.05),uniform,2,0.08179728012021592,0.28770797780214874,0.0,0.0,11.309147699270397,31.319714784622192,0.19975488294734095,0.0,0.08958974103856537,0.018386924167420073,0.009728786163768627,0.0980867473860676,0.12881036446453317,0.09056322246649427
SBM(q=0.05),spectral,2,0.13002152929444258,0.5840357976313117,0.0,0.0,11.370868635363877,38.691532135009766,0.5153834455710288,0.0,0.010934914591829843,0.01563758619857127,0.0638343868658671,0.1660798564654622,0.17112825470622062,0.1190436191402204
SBM(q=0.05),uniform,3,0.0365544366177783,0.177016707147749,0.0,0.0,1.415374243631959,31.61527991294861,0.1562970691334043,0.0,0.0161494171844589,0.006070094522167856,0.00894014447863628,0.03993390856059448,0.05857009163938737,0.03877360179249509
SBM(q=0.05),spectral,3,0.1999957828537153,0.9484210258769248,0.0,0.0,1.4048963147215545,38.24509644508362,0.856018290544146,0.0,0.03432840826225983,0.021706750867024983,0.17606041946769235,0.23506350074641366,0.23460199772579987,0.15425721347495527
SBM(q=0.05),uniform,4,0.03195170704268698,0.1513384264044706,0.0,0.0,8.143732904456556,32.327231884002686,0.13408063567501777,0.0,0.011191269662771532,0.004917462158501588,0.011855465139825522,0.034524182067374315,0.04873270489302048,0.03269447607052761
SBM(q=0.05),spectral,4,0.045190133638320376,0.20705302055524416,0.0,0.0,8.152504426892847,39.35400891304016,0.18393633050021072,0.0,0.006363267796689567,0.003187471849760353,0.025958209840501623,0.04620622198820873,0.0661792995562312,0.042416803168339956
BA(m=5),uniform,0,0.05726035906329072,0.18546918052989264,0.0,0.0,0.5543344435282052,31.53917694091797,0.06208336616042178,0.0,0.11830675139699721,0.048651318695743934,0.03164266342232808,0.05452198818164353,0.07109112003125231,0.07178566461793894
BA(m=5),spectral,0,0.09635381467889906,0.37147717790563656,0.0,0.0,0.5598243516869843,38.8261981010437,0.2962154324379841,0.0,0.1107863989213282,0.021586572643715995,0.08645271524002013,0.10038549028927053,0.11034210806678064,0.08823494511952497
BA(m=5),uniform,1,0.14629520638584176,0.808648520326117,0.0,0.0,0.6057062577456236,31.8770751953125,0.7425081727172314,0.0,0.03461232094382362,0.12271502623004077,0.14442365452726053,0.14768279606068846,0.16554189193360475,0.1275324830218133
BA(m=5),spectral,1,0.17156926967088607,1.05017669144316,0.0,0.0,0.6040371740236878,38.404640913009644,0.9699062728322275,0.0,0.10448713178128073,0.17914206236740254,0.18335919254012198,0.17761559213868552,0.18572475369876995,0.13957754030596684
BA(m=5),uniform,2,0.17300788620651872,1.0331536910009422,0.0,0.0,10.933836742304265,32.1200110912323,0.9525183170741132,0.0,0.09326855844756969,0.16721821380046847,0.19853330323345514,0.20007109608892987,0.16863147643157608,0.12479566907211385
BA(m=5),spectral,2,0.1733112885548738,1.0487617415922221,0.0,0.0,11.001115427352488,38.9535026550293,0.9676094420749255,0.0,0.10480291649612299,0.1695613713593073,0.19901656995825082,0.20037751774958906,0.1688968655914749,0.12495420092018038
BA(m=5),uniform,3,0.169854421566504,1.0395806918327877,0.0,0.0,1.2639921982772648,31.43867063522339,0.9588528190693932,0.0,0.09167392134105658,0.18776121146232067,0.18413525521631027,0.18701835616927953,0.1793894929889485,0.12887458189147777
BA(m=5),spectral,3,0.16971324279971003,1.0097821328811016,0.0,0.0,1.2547751772217453,38.8133909702301,0.9292739745330615,0.0,0.06481359860009378,0.1856074047341276,0.1836608657792154,0.18690928634979642,0.17937414300178303,0.12890867606804532
BA(m=5),uniform,4,0.13331833893008874,0.5690934814353253,0.0,0.0,7.8751231878995895,31.41206693649292,0.4935067329111354,0.0,0.07958767688235753,0.0398210540731381,0.11190912947412245,0.13981328990688258,0.15937259635530762,0.12217833998404225
BA(m=5),spectral,4,0.06737705761527457,0.22094129837532947,0.0,0.0,7.909800029825419,37.996450424194336,0.09532480016468356,0.0,0.10114114633224018,0.07304228396417456,0.006967392785659832,0.06294691694753254,0.11060916555158126,0.08898475517632468
Cora,uniform,0,0.09291867286275757,0.2998157390611627,0.0,0.0,0.16162083065137267,32.477322578430176,0.18618062470789712,0.07278852359967825,0.06545332469237804,0.04725221845107705,0.029788009127697676,0.11634852312191263,0.1549184472951886,0.07061971190623137
Cora,spectral,0,0.09392962087963028,0.30451242428890085,0.0,0.0,0.16523416561540216,40.24607706069946,0.19191154522369674,0.0723890736955919,0.06506403822284793,0.04635382637638455,0.030523444721398882,0.11783124503145281,0.15618225414588033,0.07118153961978904
Cora,uniform,1,0.09471967325746902,0.304384941237561,0.0,0.0,0.16677564376732334,32.398680210113525,0.18426703097918945,0.07326451608644786,0.0674546486220342,0.053892497342204776,0.027599363655269965,0.11101971797005925,0.164425349778205,0.07583426162634191
Cora,spectral,1,0.09325954755376864,0.2987679300777009,0.0,0.0,0.16751098225358874,40.733837604522705,0.17971319496466423,0.07294672815708937,0.06712376104268375,0.05325450605063729,0.02766593984618408,0.10962159437091071,0.16106729864596042,0.07468335735201936
Cora,uniform,2,0.09649900817339355,0.31326464486565264,0.0,0.0,8.330840560374781,33.078588008880615,0.20664408636752668,0.07101421603472229,0.06399716340724348,0.044340566884081806,0.03914433602477732,0.11631344250341319,0.1519650284253845,0.07857322573999911
Cora,spectral,2,0.09642429014652423,0.3131472872771336,0.0,0.0,8.272656451212242,40.931416273117065,0.20690500425502178,0.07103398156163224,0.06388270591079727,0.04387546885864571,0.03927639834312377,0.11641054521863647,0.15142803296921964,0.07858218405511708
Cora,uniform,3,0.08209192894721633,0.2565792966592483,0.0,0.0,0.6221073877532035,32.74817991256714,0.14867722457707006,0.06978822168388743,0.06102997222243049,0.04887229730547733,0.029870669113411158,0.10333102143960249,0.13021748793785365,0.06494853729799804
Cora,spectral,3,0.08531005630480182,0.26885565318261,0.0,0.0,0.6146720664110035,41.14288282394409,0.1600247475936143,0.07028324535627023,0.061530006947634976,0.049402225321688004,0.02999261911957761,0.10709978550812008,0.13599365839813915,0.06815416219337048
Cora,uniform,4,0.07102529433484107,0.21621107654016192,0.0,0.0,6.745608226454351,32.93145203590393,0.10931208633804737,0.06778971154125707,0.06181014616265746,0.04518923329740235,0.03046166486044692,0.08401028613178371,0.11617870901577264,0.05345051733136102
Cora,spectral,4,0.06990348008674079,0.21181811827262562,0.0,0.0,6.7976710819639266,41.134422302246094,0.10308227284656082,0.06804317448478582,0.062302527221433104,0.046185945794183475,0.02967788313185238,0.08272031111799166,0.1143679347857721,0.05284779131134696
